genome,completeness,contamination,length,N50
TG4_21:bin_000036.fa,75.97,7.51,2863042,8036
TG4_21:bin_000043.fa,95.76,11.62,3781974,11543
TG4_28:bin_000012.fa,68.86,3.63,3074750,3097
TG4_28:bin_000029.fa,70.21,1.15,2385788,9165
TG4_35:bin_000004.fa,99.96,1.83,2309893,34566
TG4_35:bin_000007.fa,95.25,5.56,2955688,25002
TG4_35:bin_000020.fa,81.65,4.95,3125774,23335
TG5:bin_000013.fa,93.94,7.73,3030271,27607
TG5:bin_000043.fa,71.64,2.03,2964704,4531
TG5_07:bin_000006.fa,95.99,3.38,2709799,29210
TG5_14:bin_000005.fa,100.0,4.36,4246193,59433
TG5_14:bin_000015.fa,88.31,4.34,4672447,26402
TG5_14:bin_000020.fa,99.86,2.76,3630330,19715
TG5_14:bin_000022.fa,79.36,2.32,2329613,15703
TG5_21:bin_000023.fa,88.97,2.92,3537607,16981
TG5_21:bin_000028.fa,73.53,2.57,1861619,8387
TG5_28:bin_000002.fa,93.28,1.85,2808417,47189
TG5_28:bin_000012.fa,84.12,1.26,1442004,5320
TG5_28:bin_000016.fa,91.29,3.91,3009769,46126
TG5_35:bin_000027.fa,89.45,7.49,3713333,18791
TG5_35:bin_000040.fa,71.07,4.05,2736418,5552
D300418:bin_000003.fa,95.28,0.8,1981997,13958
D300418:bin_000015.fa,77.71,4.67,2385370,5158
D300419:bin_000008.fa,84.03,2.1,2332485,7642
D300420:bin_000006.fa,97.38,11.98,3466999,38374
D300421:bin_000003.fa,94.68,2.35,3325211,33833
D300421:bin_000012.fa,92.62,18.56,3535866,4721
D300422:bin_000014.fa,56.03,2.98,1468317,2867
D300423:bin_000001.fa,90.16,0.01,2600249,55616
D300424:bin_000010.fa,83.38,1.11,2920917,19338
D300425:bin_000004.fa,97.18,8.51,4600399,42746
D300426:bin_000011.fa,86.65,5.34,3192875,35240
D300426:bin_000018.fa,76.57,4.94,2165442,7170
D300427:bin_000002.fa,98.84,0.29,1795833,36663
D300427:bin_000011.fa,78.5,5.07,2220053,5634
D300428:bin_000002.fa,96.04,0.76,2676127,23502
D300428:bin_000007.fa,93.5,4.08,3671918,32111
D300428:bin_000008.fa,82.32,3.54,1922776,10687
D300428:bin_000014.fa,84.34,0.78,2158439,6454
D300430:bin_000012.fa,69.66,2.1,1842706,11747
D300432:bin_000001.fa,95.93,0.97,2795297,79630
D300434:bin_000018.fa,82.02,23.8,3268648,3739
D300436:bin_000004.fa,95.25,2.66,2537631,16312
D300436:bin_000013.fa,82.29,1.24,2498483,6628
D300436:bin_000016.fa,87.89,5.7,3462128,22816
D300437:bin_000008.fa,84.0,5.63,4285704,26695
D300437:bin_000012.fa,72.99,0.91,1691173,3232
D300438:bin_000003.fa,92.88,11.12,3181989,18351
D300439:bin_000003.fa,100.0,6.11,4590111,54229
D300439:bin_000005.fa,96.78,6.14,2620697,8484
D300439:bin_000026.fa,71.41,1.74,1982206,4902
D300440:bin_000011.fa,80.88,2.1,2316714,9889
D300440:bin_000018.fa,77.32,2.59,2094199,8834
D300441:bin_000006.fa,86.06,4.7,4831455,46789
D300441:bin_000014.fa,71.03,1.33,2640343,4187
D300443:bin_000002.fa,100.0,1.11,2697713,51850
D300443:bin_000006.fa,94.43,3.5,2435164,14812
D300443:bin_000009.fa,93.81,4.28,2450481,17430
D300443:bin_000014.fa,90.88,8.77,2061017,7289
D300443:bin_000019.fa,70.73,4.01,2007516,5522
D300444:bin_000004.fa,93.45,4.28,2123799,9601
D300447:bin_000003.fa,96.36,1.13,2827335,17834
D300447:bin_000009.fa,82.88,1.85,2236340,5928
D300450:bin_000001.fa,91.08,2.87,2687489,19690
D300452:bin_000011.fa,89.07,4.24,4114053,6846
D300454:bin_000001.fa,99.77,1.89,2747018,43222
D300455:bin_000009.fa,95.32,6.66,2753847,30982
D300456:bin_000014.fa,90.57,5.63,3374656,17230
D300457:bin_000007.fa,95.19,2.08,2512736,19326
D300458:bin_000021.fa,54.8,1.19,1081016,3075
D300459:bin_000007.fa,95.34,5.04,3174884,42171
D300459:bin_000008.fa,88.17,7.42,3428395,36479
D300460:bin_000001.fa,90.7,1.82,2576178,32365
D300460:bin_000007.fa,91.35,2.4,2700358,17604
D300460:bin_000011.fa,84.93,6.97,2120080,5036
D300462:bin_000005.fa,93.25,5.94,4508114,52808
D300462:bin_000010.fa,84.7,3.78,1880248,7772
D300463:bin_000002.fa,99.47,0.96,2596309,12672
D300463:bin_000010.fa,84.69,4.61,2676410,8665
D300463:bin_000021.fa,56.38,0.31,1557703,3624
D300464:bin_000013.fa,88.58,12.68,3257342,18361
D300465:bin_000010.fa,87.93,7.86,4494642,31880
D300465:bin_000014.fa,96.14,7.65,2670246,17189
D300465:bin_000015.fa,84.49,6.78,3205651,11734
D300466:bin_000003.fa,92.23,4.02,2834280,13883
D300466:bin_000013.fa,63.35,1.77,1846486,3534
D300467:bin_000007.fa,94.86,7.57,2718390,17337
D300468:bin_000006.fa,92.33,5.71,3340247,41636
D300468:bin_000008.fa,92.75,5.36,2931131,21287
D300468:bin_000013.fa,85.04,2.6,1957613,4606
D300468:bin_000015.fa,81.63,2.31,2835620,9350
D300469:bin_000003.fa,91.06,4.22,2034341,17538
D300470:bin_000018.fa,69.91,4.21,2350118,7898
D300472:bin_000006.fa,93.65,7.12,2285681,11891
D300474:bin_000017.fa,57.76,2.6,1796652,7238
D300476:bin_000008.fa,82.18,2.88,2889829,13062
D300476:bin_000010.fa,89.73,4.98,4574974,27484
D300477:bin_000008.fa,91.29,4.73,3491955,28432
D300477:bin_000011.fa,81.53,6.6,3828209,32665
D300478:bin_000011.fa,91.43,0.45,2987336,19511
D300480:bin_000003.fa,90.33,4.86,2932586,14272
D300480:bin_000009.fa,92.03,6.76,3363621,29810
D300480:bin_000012.fa,93.15,6.35,3899169,14713
D300481:bin_000009.fa,91.64,4.55,3332481,17114
D300481:bin_000016.fa,75.2,4.12,2394149,6243
D300482:bin_000006.fa,86.58,3.86,3886194,4717
D300483:bin_000001.fa,94.87,1.45,2532736,14712
D300484:bin_000001.fa,97.71,1.4,1780436,16524
D300484:bin_000017.fa,88.31,29.78,2875862,2547
D300485:bin_000016.fa,86.36,6.71,2775159,16169
D300488:bin_000010.fa,76.69,4.92,1867164,6161
D300488:bin_000016.fa,50.0,1.43,1771746,3404
D300489:bin_000003.fa,95.61,2.24,2827554,21283
D300489:bin_000007.fa,90.24,5.15,3446388,32473
D300489:bin_000019.fa,81.81,1.07,2648801,9449
D300491:bin_000001.fa,94.35,1.54,1872743,6242
D300491:bin_000005.fa,83.42,2.06,2252308,4656
D300492:bin_000008.fa,100.0,4.49,4435351,28647
D300493:bin_000010.fa,95.29,4.14,2748271,25618
D300493:bin_000013.fa,77.24,5.5,4112185,12188
D300494:bin_000015.fa,77.35,5.42,2778409,11246
D300495:bin_000013.fa,88.49,3.52,2742623,10155
D300496:bin_000017.fa,82.12,3.77,2586553,16488
D300496:bin_000019.fa,82.96,12.98,4063876,7576
D300497:bin_000002.fa,91.94,2.71,2035327,18214
D300497:bin_000004.fa,90.7,1.9,2581429,8844
D300497:bin_000018.fa,50.74,1.04,1888859,3387
D300498:bin_000010.fa,85.89,0.12,2899619,46055
D300499:bin_000001.fa,99.98,0.21,1539033,17919
D300499:bin_000005.fa,91.73,2.7,2329627,4648
D300500:bin_000009.fa,83.54,1.99,2546609,6997
D300502:bin_000007.fa,96.0,4.52,3141390,29364
D300502:bin_000010.fa,81.83,9.19,3064992,17726
D300503:bin_000005.fa,91.95,31.02,8208594,21642
D300503:bin_000015.fa,67.36,3.76,2506142,6701
D300505:bin_000007.fa,90.59,0.38,2618331,8962
D300506:bin_000009.fa,99.2,7.26,4521743,43898
D300506:bin_000015.fa,82.74,3.18,2943806,14140
D300511:bin_000003.fa,96.16,0.37,1753402,10460
D300511:bin_000014.fa,87.49,10.15,3020644,12982
D300511:bin_000017.fa,56.95,1.99,1705805,5035
D300512:bin_000003.fa,92.91,1.09,2227612,16242
D300512:bin_000015.fa,85.51,4.42,2287612,16612
D300513:bin_000016.fa,69.02,6.72,2517591,7341
D300515:bin_000016.fa,68.38,6.24,3873861,13045
D300516:bin_000002.fa,92.08,1.89,2620071,15627
D300516:bin_000012.fa,77.19,5.85,2438944,15736
D300517:bin_000003.fa,88.7,1.64,3391694,26473
D300517:bin_000016.fa,68.73,4.4,2367619,6690
D300518:bin_000007.fa,96.65,4.4,2232757,12756
D300518:bin_000012.fa,88.5,3.78,3132548,13933
D300518:bin_000013.fa,72.45,3.1,2261985,5736
D300518:bin_000019.fa,67.49,4.6,2877308,9160
D300519:bin_000011.fa,90.65,2.54,2108898,4509
D300520:bin_000002.fa,97.87,5.35,2338277,13214
D300521:bin_000014.fa,75.73,3.04,1613544,18502
D300521:bin_000017.fa,73.4,2.33,3059415,8504
D300523:bin_000005.fa,99.81,7.95,4165000,56876
D300523:bin_000008.fa,93.94,5.29,3757347,29560
D300525:bin_000013.fa,94.87,5.2,3601437,13017
D300526:bin_000003.fa,93.41,4.06,3354382,24792
D300527:bin_000012.fa,84.51,2.18,2274901,5844
D300528:bin_000008.fa,86.43,4.32,4469558,37552
D300529:bin_000011.fa,84.24,42.85,3883200,7245
GPB:bin_000001.fa,95.03,1.15,4151388,4151388
GPB:bin_000013.fa,97.92,0.52,3558367,3558367
GPB:bin_000067.fa,97.33,0.43,3458757,3458757
GPB:bin_000085.fa,98.69,0.16,3175523,3175523
GPB:bin_000088.fa,99.89,0.05,3196684,3196684
GPB:bin_000095.fa,94.93,0.24,2400753,2400753
GPB:bin_000128.fa,98.84,2.24,3286092,3286092
GPB:bin_000133.fa,99.46,0.14,2495716,2495716
GPB:bin_000147.fa,100.0,3.71,4686105,3589579
GPB:bin_000152.fa,95.48,2.62,3603283,806911
GPB:bin_000157.fa,70.43,2.91,2521590,1379363
GPB:bin_000169.fa,91.83,1.11,3512759,3512759
GPB:bin_000175.fa,99.98,0.88,3653851,3453166
GPB:bin_000183.fa,99.98,0.91,3461377,988943
GPB:bin_000186.fa,94.45,0.65,2642202,442333
GPB:bin_000187.fa,94.6,0.67,3334072,825182
GPB:bin_000203.fa,90.09,3.75,3831118,2351527
TG1_07:bin_000002.fa,99.83,5.31,2757525,35081
TG1_07:bin_000008.fa,87.8,3.93,2975785,9813
TG1_14:bin_000002.fa,97.29,2.05,3658014,16321
TG1_14:bin_000003.fa,100.0,1.77,2573443,34868
TG1_14:bin_000014.fa,81.16,2.42,2908926,15110
TG1_14:bin_000016.fa,91.46,12.08,3178664,30639
TG1_14:bin_000017.fa,76.78,5.59,3553063,3725
TG1_14:bin_000019.fa,87.94,6.74,3089991,31805
TG1_14:bin_000020.fa,84.26,8.11,3866061,24658
TG1_21:bin_000005.fa,93.04,1.23,3182190,72829
TG1_21:bin_000034.fa,89.18,9.98,3073037,23155
TG1_28:bin_000009.fa,92.29,10.42,2943526,19971
TG1_28:bin_000017.fa,91.27,4.53,2441344,24262
TG1_28:bin_000018.fa,86.69,7.51,3605226,38631
TG1_35:bin_000004.fa,93.86,3.48,3467458,9234
TG2:bin_000010.fa,97.38,4.24,3606875,16134
TG2:bin_000015.fa,98.02,7.37,2928209,27160
TG2:bin_000027.fa,88.37,13.65,4523980,7812
TG2:bin_000028.fa,85.01,8.68,3533330,20580
TG2_07:bin_000017.fa,96.53,8.15,4285681,26998
TG2_07:bin_000025.fa,87.79,10.13,2472031,22585
TG2_14:bin_000017.fa,86.14,0.92,2267014,27091
TG2_21:bin_000015.fa,92.15,3.0,2610843,21717
TG2_21:bin_000021.fa,77.29,6.17,2398960,8122
TG2_21:bin_000033.fa,73.02,4.0,2273804,4286
TG2_21:bin_000037.fa,72.71,2.15,2696669,5001
TG2_28:bin_000031.fa,84.13,2.4,2308821,5077
TG2_35:bin_000023.fa,82.97,5.32,2690722,9419
TG2_35:bin_000027.fa,78.75,10.5,3083465,11177
TG2_35:bin_000028.fa,54.95,7.23,1535920,3307
TG3:bin_000011.fa,96.71,4.34,2568946,21091
TG3:bin_000013.fa,90.37,0.31,1854424,99739
TG3:bin_000029.fa,89.33,5.1,2593124,16957
TG3:bin_000061.fa,95.83,9.26,3187342,16157
TG3:bin_000068.fa,92.43,2.11,2578757,14340
TG3:bin_000070.fa,73.66,8.5,2819476,13945
TG3:bin_000075.fa,74.84,10.52,2789802,5857
TG3:bin_000077.fa,92.17,15.8,4143823,3400
TG3_07:bin_000006.fa,95.24,5.2,3225372,35703
TG3_14:bin_000021.fa,87.2,12.03,4258494,16448
TG3_14:bin_000026.fa,72.51,2.4,1348892,4191
TG3_21:bin_000002.fa,99.96,5.26,1911678,77395
TG3_21:bin_000025.fa,86.98,7.03,2880595,16633
TG3_21:bin_000029.fa,79.44,6.65,2581695,11800
TG3_21:bin_000033.fa,94.29,11.79,1912283,20964
TG3_28:bin_000009.fa,97.82,4.72,2931243,20624
TG3_28:bin_000016.fa,91.86,2.74,2640922,9736
TG3_28:bin_000025.fa,92.03,4.67,2281809,10736
TG3_35:bin_000032.fa,78.54,5.32,3875834,3923
TG3_35:bin_000037.fa,72.93,1.75,2449049,13887
TG4:bin_000015.fa,90.37,8.26,2630086,16554
TG4:bin_000031.fa,76.93,3.34,2074568,4654
TG4:bin_000037.fa,85.84,2.87,2657549,4705
TG4:bin_000048.fa,67.76,5.15,2460463,5907
TG4:bin_000051.fa,65.31,4.2,2009750,4293
TG4_07:bin_000010.fa,96.31,2.11,2592973,23628
TG4_07:bin_000014.fa,90.78,7.15,2716931,13793
TG4_07:bin_000027.fa,66.44,0.76,2292052,5274
TG4_14:bin_000013.fa,88.6,9.04,3594356,12611
TG4_14:bin_000018.fa,88.32,12.36,4591305,51582
TG4_21:bin_000002.fa,91.95,1.45,2714101,40358
TG4_21:bin_000005.fa,99.67,2.47,2105934,42115
TG4_21:bin_000022.fa,81.77,8.96,1556490,7639
TG4_21:bin_000024.fa,76.36,3.34,1943214,4933
TG4_21:bin_000031.fa,92.98,14.37,4391868,17606
TG4_28:bin_000002.fa,99.63,3.72,2117294,20914
TG4_28:bin_000010.fa,77.89,3.11,1458095,18387
TG4_28:bin_000021.fa,70.35,2.86,2650428,6407
TG4_28:bin_000032.fa,69.93,5.17,1990450,3962
TG4_28:bin_000033.fa,70.45,1.52,2447930,7073
TG4_35:bin_000015.fa,83.06,4.26,2834217,6834
TG5:bin_000007.fa,94.02,2.99,2491776,16296
TG5:bin_000008.fa,95.08,1.17,3725239,30805
TG5:bin_000009.fa,97.45,7.74,3492531,23085
TG5:bin_000020.fa,92.98,9.3,3901986,31954
TG5:bin_000034.fa,79.31,3.24,3356140,9788
TG5:bin_000035.fa,90.01,15.1,3647689,17375
TG5:bin_000042.fa,84.76,13.26,4109756,12932
TG5:bin_000049.fa,61.92,7.4,1613700,2512
TG5_07:bin_000009.fa,98.34,4.46,3394279,45026
TG5_07:bin_000011.fa,87.62,6.3,3056409,29390
TG5_14:bin_000024.fa,77.05,2.78,2224964,6175
TG5_21:bin_000012.fa,94.61,8.69,2285459,18666
TG5_21:bin_000021.fa,91.61,5.16,3069207,32644
TG5_28:bin_000010.fa,95.15,7.73,3429560,44708
TG5_35:bin_000007.fa,99.63,4.21,2953054,31315
TG5_35:bin_000020.fa,93.79,6.21,2913253,12679
TG5_35:bin_000022.fa,83.77,5.79,2156854,4543
TG5_35:bin_000030.fa,82.28,3.93,3221036,12848
TG5_35:bin_000039.fa,79.16,9.95,3101988,8564
D300418:bin_000020.fa,60.52,7.19,1301671,2880
D300426:bin_000012.fa,91.27,5.61,2655820,22703
D300427:bin_000010.fa,78.25,4.58,2546648,10298
D300429:bin_000014.fa,77.42,3.48,3850985,22450
D300430:bin_000007.fa,66.0,1.97,3240344,3233
D300431:bin_000006.fa,89.24,1.03,2775468,14046
D300432:bin_000012.fa,94.82,7.67,4060503,20970
D300434:bin_000009.fa,88.72,10.55,2245250,6099
D300435:bin_000004.fa,93.33,5.87,2901854,22717
D300437:bin_000006.fa,79.82,1.99,2014812,4553
D300438:bin_000008.fa,99.54,9.34,3815671,36329
D300439:bin_000004.fa,90.85,0.31,1783726,13958
D300439:bin_000011.fa,92.02,1.03,2523944,17636
D300439:bin_000014.fa,92.45,8.98,1984264,10831
D300439:bin_000016.fa,91.08,8.38,3494113,36311
D300439:bin_000018.fa,89.46,7.19,3246367,27737
D300440:bin_000012.fa,90.62,2.55,2862982,31473
D300441:bin_000010.fa,95.7,3.94,2546960,25851
D300443:bin_000005.fa,98.8,0.58,1707876,31829
D300443:bin_000021.fa,60.02,0.31,1573519,6112
D300443:bin_000022.fa,66.89,0.8,2496321,5125
D300445:bin_000009.fa,91.72,2.8,2362865,8722
D300445:bin_000012.fa,87.1,2.58,2783605,13303
D300446:bin_000001.fa,90.77,1.41,2639574,39556
D300446:bin_000010.fa,74.2,0.28,2193477,10017
D300447:bin_000001.fa,95.53,0.17,1931303,17397
D300447:bin_000011.fa,95.66,6.31,3575367,32722
D300448:bin_000015.fa,80.67,1.66,2812434,11340
D300448:bin_000020.fa,76.27,3.94,3032751,11648
D300452:bin_000006.fa,91.89,29.52,9564970,18261
D300453:bin_000015.fa,88.29,32.77,3777810,4478
D300454:bin_000008.fa,95.81,3.3,3648863,38068
D300454:bin_000011.fa,78.85,8.29,2533690,5661
D300454:bin_000012.fa,77.99,1.65,3497540,4745
D300455:bin_000001.fa,90.16,0.5,2630916,41623
D300455:bin_000018.fa,65.59,2.16,2266081,5529
D300455:bin_000019.fa,51.71,3.73,1841630,4826
D300456:bin_000005.fa,84.82,3.69,3773304,3839
D300456:bin_000016.fa,69.54,8.54,2196912,6826
D300457:bin_000008.fa,100.0,16.58,6825962,31662
D300457:bin_000009.fa,83.82,9.11,5121283,12474
D300458:bin_000008.fa,99.94,4.64,1632942,16925
D300458:bin_000011.fa,92.98,7.87,3741589,25948
D300458:bin_000017.fa,93.73,7.24,3438612,19535
D300458:bin_000023.fa,90.43,42.76,4307238,7471
D300461:bin_000011.fa,81.05,1.48,2287728,12909
D300461:bin_000016.fa,66.3,4.78,3515471,3298
D300463:bin_000022.fa,79.86,2.43,2330250,12103
D300464:bin_000016.fa,82.43,5.78,2414178,8069
D300466:bin_000010.fa,76.62,3.48,2091430,11807
D300466:bin_000012.fa,90.88,7.98,3051629,15913
D300466:bin_000014.fa,72.25,2.67,2253076,9805
D300468:bin_000010.fa,92.59,1.72,2468747,16696
D300469:bin_000007.fa,87.95,2.78,2436925,5312
D300469:bin_000010.fa,88.6,6.52,3662612,37611
D300469:bin_000014.fa,88.5,3.89,1984338,6630
D300470:bin_000002.fa,95.48,1.04,2812472,26062
D300470:bin_000009.fa,92.98,3.27,3709256,39001
D300470:bin_000020.fa,83.2,6.91,3742948,8787
D300471:bin_000006.fa,91.72,2.45,2118170,5288
D300471:bin_000009.fa,90.48,2.67,3312022,20430
D300471:bin_000013.fa,63.09,0.43,1996790,3565
D300472:bin_000003.fa,91.75,1.35,2791757,25309
D300472:bin_000007.fa,88.1,2.38,2642721,12775
D300473:bin_000002.fa,93.42,1.59,2083644,17148
D300474:bin_000015.fa,63.94,5.29,2460404,2996
D300475:bin_000011.fa,87.73,9.13,4641544,42942
D300475:bin_000020.fa,77.09,7.1,2510312,15155
D300476:bin_000015.fa,72.14,0.63,1996417,5143
D300477:bin_000005.fa,97.6,3.65,3012858,32389
D300477:bin_000013.fa,83.85,4.92,2814707,8635
D300477:bin_000014.fa,83.68,4.17,2450934,12191
D300478:bin_000003.fa,100.0,0.72,2643176,31961
D300478:bin_000014.fa,78.75,1.23,1404768,19188
D300478:bin_000022.fa,70.06,4.17,1899665,7856
D300479:bin_000010.fa,95.32,9.64,3212058,35441
D300479:bin_000011.fa,87.68,7.18,4136910,5420
D300480:bin_000013.fa,84.43,2.14,2119202,7392
D300480:bin_000014.fa,71.23,5.51,3553317,7721
D300480:bin_000018.fa,83.81,14.38,3685706,25288
D300481:bin_000001.fa,91.94,1.28,2538565,27042
D300481:bin_000003.fa,98.43,2.28,3049666,23078
D300481:bin_000011.fa,86.48,4.19,1839374,5068
D300483:bin_000002.fa,99.92,1.02,2792626,29690
D300483:bin_000007.fa,94.11,3.4,2409118,7951
D300484:bin_000002.fa,94.9,0.07,1753973,13672
D300484:bin_000012.fa,87.5,2.32,3142067,11967
D300485:bin_000013.fa,87.04,1.79,3042337,36311
D300487:bin_000011.fa,82.53,6.26,4783638,14770
D300488:bin_000014.fa,83.66,2.55,2597785,15829
D300489:bin_000004.fa,97.49,4.25,2617044,32738
D300491:bin_000014.fa,82.89,6.99,2977963,17353
D300492:bin_000003.fa,96.77,2.56,3315623,65879
D300492:bin_000013.fa,73.21,6.4,4511786,3870
D300493:bin_000004.fa,97.67,9.93,3640232,39736
D300493:bin_000017.fa,79.29,1.71,3148418,9865
D300494:bin_000013.fa,83.01,1.38,2663597,10156
D300495:bin_000020.fa,59.91,3.29,1881206,3301
D300497:bin_000001.fa,92.54,6.57,2904444,52570
D300499:bin_000019.fa,86.96,4.89,2894497,8316
D300500:bin_000002.fa,89.43,7.98,4309879,14709
D300500:bin_000003.fa,95.99,2.45,1766778,16906
D300507:bin_000006.fa,89.6,5.18,3459537,38577
D300508:bin_000004.fa,98.55,2.97,2065589,18355
D300508:bin_000007.fa,93.47,5.02,3331570,21536
D300509:bin_000003.fa,92.94,2.65,1826836,13016
D300509:bin_000011.fa,82.15,6.73,3792451,11358
D300509:bin_000017.fa,81.6,3.21,2360646,8107
D300511:bin_000012.fa,73.66,6.68,2964224,10851
D300512:bin_000016.fa,72.54,2.85,2125663,10160
D300512:bin_000018.fa,83.38,8.06,2652454,8573
D300513:bin_000002.fa,93.34,0.83,2975524,55365
D300513:bin_000010.fa,92.94,0.83,3305382,15804
D300513:bin_000013.fa,88.36,5.57,2636107,9645
D300515:bin_000004.fa,85.01,6.82,3587909,32445
D300516:bin_000013.fa,84.4,5.69,3364878,11233
D300516:bin_000019.fa,73.55,4.16,2399213,12014
D300518:bin_000008.fa,90.62,4.7,3447268,31521
D300519:bin_000001.fa,99.45,2.3,1894266,49221
D300519:bin_000002.fa,92.81,0.03,2496190,60156
D300519:bin_000020.fa,71.78,14.23,2992449,14497
D300520:bin_000014.fa,87.42,4.67,3197032,26326
D300521:bin_000021.fa,59.06,0.69,1858791,3213
D300522:bin_000007.fa,91.32,6.15,3004011,26105
D300524:bin_000009.fa,100.0,5.16,2872865,15739
D300524:bin_000010.fa,90.54,2.26,2730425,28563
D300524:bin_000014.fa,68.21,1.09,849143,2856
D300525:bin_000004.fa,99.83,7.33,2807140,53402
D300525:bin_000008.fa,90.89,7.5,5022558,15959
D300526:bin_000005.fa,92.33,2.15,1647954,17908
D300526:bin_000017.fa,76.26,4.41,2055688,6445
D300526:bin_000019.fa,63.94,4.07,1727485,3773
D300527:bin_000014.fa,71.12,11.96,2336125,3316
D300528:bin_000009.fa,89.91,4.0,2257836,11212
D300529:bin_000006.fa,78.23,3.09,2266568,10909
GEXTRA:bin_000003.fa,100.0,0.05,4775105,90175
GEXTRA:bin_000005.fa,99.97,0.25,2248759,1882821
GPB:bin_000024.fa,98.22,1.5,3673377,3673377
GPB:bin_000043.fa,97.35,0.22,1744170,1744170
GPB:bin_000051.fa,100.0,0.12,4632364,4632364
GPB:bin_000069.fa,98.11,1.52,4555427,4555427
GPB:bin_000079.fa,100.0,0.62,3241078,3241078
GPB:bin_000094.fa,96.52,0.97,4716244,4716244
GPB:bin_000100.fa,93.25,0.05,2680208,2680208
GPB:bin_000112.fa,100.0,0.25,3563294,3563294
GPB:bin_000118.fa,99.25,1.94,3924240,3924240
GPB:bin_000124.fa,98.59,1.5,3904228,3904228
GPB:bin_000130.fa,96.41,0.25,2681577,2681577
GPB:bin_000142.fa,86.66,0.35,1458434,1458434
GPB:bin_000148.fa,92.79,0.07,2638047,2638047
GPB:bin_000154.fa,98.14,0.89,4101245,2642865
GPB:bin_000158.fa,100.0,2.86,4051044,2918281
GPB:bin_000179.fa,73.41,0.52,3043801,2052185
TG1:bin_000010.fa,91.28,0.12,1860773,26504
TG1:bin_000019.fa,90.11,1.7,3259117,8433
TG1:bin_000022.fa,94.77,5.22,2901394,20882
TG1:bin_000036.fa,65.55,5.37,3128830,3041
TG1:bin_000051.fa,75.95,5.11,2659891,6594
TG1:bin_000061.fa,68.54,2.66,2326928,13299
TG1:bin_000066.fa,49.51,0.78,1586485,3354
TG1_07:bin_000001.fa,100.0,0.58,2505632,30144
TG1_07:bin_000006.fa,92.44,1.78,2624922,39489
TG1_07:bin_000012.fa,85.25,1.22,3356153,5608
TG1_07:bin_000024.fa,67.34,1.11,1982718,3807
TG1_14:bin_000010.fa,93.33,2.51,2443132,13498
TG1_14:bin_000021.fa,93.6,8.44,4265783,4706
TG1_14:bin_000023.fa,85.86,4.2,2513987,11636
TG1_21:bin_000006.fa,99.21,11.54,3696911,36690
TG1_21:bin_000010.fa,99.99,4.78,1850122,14468
TG1_21:bin_000017.fa,85.18,1.99,1554261,22070
TG1_21:bin_000025.fa,84.59,8.09,3466814,9941
TG1_28:bin_000001.fa,96.95,2.53,3019997,38528
TG1_28:bin_000002.fa,91.5,1.31,2649125,41514
TG1_28:bin_000004.fa,100.0,2.09,2622482,17203
TG1_28:bin_000021.fa,92.35,6.45,3494115,19192
TG1_28:bin_000030.fa,67.45,0.3,1850631,3507
TG1_28:bin_000042.fa,48.72,0.22,823128,2753
TG1_35:bin_000008.fa,94.39,5.42,2762791,38270
TG1_35:bin_000014.fa,98.89,5.37,3962403,34408
TG1_35:bin_000038.fa,79.65,6.5,2717837,6180
TG2:bin_000003.fa,99.89,1.77,2084398,20549
TG2:bin_000011.fa,91.44,3.94,3828035,21220
TG2:bin_000020.fa,95.01,18.68,6183632,22763
TG2:bin_000023.fa,84.88,2.44,2448109,9297
TG2:bin_000025.fa,94.17,13.76,3720285,21953
TG2:bin_000031.fa,74.92,3.62,1471977,11429
TG2:bin_000051.fa,75.62,5.39,2466747,5315
TG2:bin_000056.fa,53.06,2.47,2230129,3501
TG2_07:bin_000001.fa,100.0,0.0,2841939,69468
TG2_07:bin_000003.fa,94.79,1.25,3414724,7400
TG2_07:bin_000008.fa,88.99,0.1,2282713,17020
TG2_07:bin_000011.fa,92.55,6.1,2449585,13729
TG2_07:bin_000019.fa,87.49,11.59,3125897,29190
TG2_14:bin_000004.fa,99.97,4.73,4227897,27885
TG2_14:bin_000030.fa,57.01,6.91,1962923,4383
TG2_21:bin_000016.fa,93.31,6.89,3209727,14109
TG2_21:bin_000025.fa,80.28,7.51,3246388,40407
TG2_21:bin_000038.fa,53.6,2.49,2287885,5476
TG2_28:bin_000010.fa,89.16,4.32,2273886,14552
TG2_28:bin_000014.fa,100.0,12.73,5325586,17070
TG2_28:bin_000018.fa,84.45,7.16,3190701,38249
TG2_28:bin_000030.fa,60.3,13.14,1746503,3061
TG2_35:bin_000006.fa,98.71,8.18,2908840,35706
TG2_35:bin_000031.fa,73.54,3.96,2497964,5223
TG3:bin_000009.fa,91.34,5.25,2192932,13927
TG3:bin_000046.fa,79.89,6.91,1683296,16567
TG3:bin_000047.fa,86.83,7.1,3028433,13250
TG3:bin_000056.fa,94.32,24.28,3641351,9539
TG3_07:bin_000013.fa,88.97,4.17,2897783,34377
TG3_07:bin_000020.fa,87.61,3.37,2970964,20069
TG3_07:bin_000028.fa,54.59,1.17,2618430,3623
TG3_07:bin_000029.fa,65.28,3.39,2074477,10041
TG3_07:bin_000030.fa,56.85,0.03,1593928,13392
TG3_14:bin_000001.fa,95.73,1.53,3002946,84210
TG3_14:bin_000008.fa,95.83,6.58,2366248,17061
TG3_14:bin_000012.fa,92.77,5.51,2955691,9861
TG3_21:bin_000015.fa,88.46,4.84,3245921,29538
