,occurrences_across_networks,interaction_types
treatment_TG1-Nicotinic acid,1,{'co-occurrence'}
Merdisoma faecalis-Nicotinic acid,1,{'co-occurrence'}
Proteus mirabilis-Niacinamide,1,{'co-occurrence'}
Lawsonibacter pullicola-L-Valine,1,{'co-exclusion'}
L-Glutamic acid-L-Serine,1,{'co-occurrence'}
Agathobaculum stercoravium-L-Serine,1,{'co-exclusion'}
treatment_TG4-L-Glutamic acid,1,{'co-occurrence'}
Mediterraneibacter faecigallinarum-L-Asparagine,1,{'co-occurrence'}
Eisenbergiella intestinigallinarum-treatment_TG5,1,{'co-occurrence'}
Tyzzerella sp944383305-treatment_TG5,1,{'co-occurrence'}
Mediterraneibacter faecigallinarum-treatment_TG4,1,{'co-occurrence'}
UMGS1370 sp904395885-treatment_TG3,1,{'co-occurrence'}
Rubneribacter badeniensis-treatment_TG3,1,{'co-occurrence'}
Pantothenic acid-a-Tocopheryl acetate,1,{'co-exclusion'}
