,occurrences_across_networks,interaction_types,networks_with_the_edge
Borkfalkia sp904374385-Limosilactobacillus reuteri_E,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Lactobacillus gallinarum-Limosilactobacillus reuteri_E,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Metalachnospira gallinarum-treatment_TG1,1,{'co-exclusion'},{'day28'}
Massilimicrobiota sp002160865-treatment_TG1,1,{'co-exclusion'},{'day28'}
Pararuminococcus gallinarum-treatment_TG2,1,{'co-occurrence'},{'day28'}
Heteroclostridium caecigallinarum-treatment_TG2,1,{'co-occurrence'},{'day28'}
Borkfalkia sp904374385-treatment_TG3,1,{'co-occurrence'},{'day28'}
Merdisoma sp002160825-treatment_TG4,1,{'co-occurrence'},{'day28'}
Blautia stercorigallinarum-treatment_TG4,1,{'co-occurrence'},{'day28'}
Caccovicinus sp017889125-treatment_TG5,1,{'co-occurrence'},{'day28'}
Lachnoclostridium_A sp002160755-L-Asparagine,1,{'co-occurrence'},{'day28'}
Anaerobutyricum stercoris-Pantothenic acid,1,{'co-occurrence'},{'day28'}
Lawsonibacter sp900545895-L-Proline,1,{'co-occurrence'},{'day28'}
Mediterraneibacter sp944381495-L-Proline,1,{'co-exclusion'},{'day28'}
Lachnoclostridium_A avicola-L-Proline,1,{'co-occurrence'},{'day28'}
Caccovicinus merdipullorum-L-Valine,1,{'co-exclusion'},{'day28'}
Evtepia gabavorous-L-Isoleucine,1,{'co-occurrence'},{'day28'}
Eisenbergiella merdigallinarum-L-Isoleucine,1,{'co-occurrence'},{'day28'}
Ornithomonoglobus merdipullorum-L-Methionine,1,{'co-occurrence'},{'day28'}
unclassified_Gallispira-Pyridoxamine,1,{'co-occurrence'},{'day28'}
Thomasclavelia spiroformis-L-Arginine,1,{'co-occurrence'},{'day28'}
unclassified_Mediterraneibacter-Massilimicrobiota sp002160865,1,"{'competition', 'co-occurrence'}",{'day28'}
unclassified_Onthovicinus-Massilimicrobiota sp002160865,1,"{'competition', 'co-exclusion'}",{'day28'}
Agathobaculum sp900557315-Massilimicrobiota sp002160865,1,"{'competition', 'co-exclusion'}",{'day28'}
Negativibacillus faecipullorum-Borkfalkia ceftriaxoniphila,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day28'}
Alistipes excrementavium-Mediterraneibacter intestinigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Lawsonibacter asaccharolyticus-Mediterraneibacter intestinigallinarum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day28'}
Lachnoclostridium_B sp002160985-Mediterraneibacter intestinigallinarum,1,"{'competition', 'co-occurrence'}",{'day28'}
Intestinimonas timonensis-Copromonas faecavium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Caccovicinus merdipullorum-Enterocloster excrementigallinarum,1,"{'competition', 'co-occurrence'}",{'day28'}
Onthovicinus excrementipullorum-Pullilachnospira stercoravium,1,"{'competition', 'co-occurrence'}",{'day28'}
Choladocola avistercoris-Caccovicinus sp017889125,1,"{'competition', 'co-occurrence'}",{'day28'}
Mediterraneibacter norwichensis-Mediterraneibacter vanvlietii,1,"{'competition', 'co-occurrence'}",{'day28'}
Fimenecus stercoravium-Mediterraneibacter sp944381495,1,"{'competition', 'co-occurrence'}",{'day28'}
Ornithomonoglobus merdipullorum-Lachnoclostridium_A avicola,1,"{'competition', 'co-occurrence'}",{'day28'}
Lachnoclostridium_B sp002160985-Anaerobutyricum stercoris,1,"{'competition', 'co-exclusion'}",{'day28'}
Caccousia avistercoris-Heteroclostridium caecigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Pararuminococcus gallinarum-Heteroclostridium caecigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
An181 sp002160325-Borkfalkia ceftriaxoniphila,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Heteroclostridium caecigallinarum-Thomasclavelia ramosa,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day28'}
Dysosmobacter faecalis-Borkfalkia excrementigallinarum,1,"{'competition', 'co-occurrence'}",{'day28'}
Lachnoclostridium_A sp002160755-Borkfalkia sp904373255,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Pullilachnospira stercoravium-Borkfalkia sp904374385,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Borkfalkia sp904373255-Borkfalkia sp017886545,1,"{'competition', 'co-occurrence'}",{'day28'}
unclassified_Lawsonibacter-Scatosoma sp904419075,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
unclassified_Intestinimonas-Coproplasma stercorigallinarum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day28'}
Mediterraneibacter merdigallinarum-Coproplasma stercorigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
unclassified_CAG-508-UMGS775 sp900545325,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Akkermansia sp905200945-Spyradocola merdavium,1,"{'competition', 'co-occurrence'}",{'day28'}
Merdisoma sp944375745-Spyradocola merdavium,1,"{'competition', 'co-occurrence'}",{'day28'}
Acutalibacter pullistercoris-Harrysmithimonas galli,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Pararuminococcus gallinarum-Thomasclavelia ramosa,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day28'}
unclassified_CAG-508-Thomasclavelia ramosa,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
L-Glutamic acid-L-Lysine,1,{'co-occurrence'},{'day21'}
Alistipes excrementavium-L-Glutamine,1,{'co-exclusion'},{'day21'}
Ornithomonoglobus merdipullorum-L-Aspartic Acid,1,{'co-occurrence'},{'day21'}
L-Serine-L-Isoleucine,1,{'co-occurrence'},{'day21'}
Lachnoclostridium_A avicola-L-Asparagine,1,{'co-occurrence'},{'TG5'}
Enterocloster excrementipullorum-Niacinamide,1,{'co-exclusion'},{'TG5'}
Caccovicinus merdipullorum-Nicotinic acid,1,{'co-exclusion'},{'TG5'}
Lachnoclostridium_A stercoripullorum-L-Lysine,1,{'co-occurrence'},{'TG5'}
Escherichia coli-Gordonibacter urolithinfaciens,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day21'}
Agathobaculum intestinigallinarum-Flavonifractor avicola,1,"{'competition', 'co-occurrence'}",{'day21'}
Klebsiella pneumoniae-Lawsonibacter sp900545895,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day21'}
unclassified_Lawsonibacter-Lawsonibacter sp019424865,1,"{'competition', 'co-occurrence'}",{'day21'}
unclassified_Lawsonibacter-Pelethomonas intestinigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day21'}
Alistipes excrementavium-Dysosmobacter faecalis,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day21'}
Lawsonibacter sp019424865-Acutalibacter sp900755895,1,"{'competition', 'co-occurrence'}",{'day21'}
Dysosmobacter pullicola-Acutalibacter stercoravium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day21'}
Rubneribacter badeniensis-Gallacutalibacter pullicola,1,"{'competition', 'co-occurrence'}",{'day21'}
Intestinimonas stercoravium-unclassified_Acutalibacteraceae,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day21'}
Flavonifractor avicola-unclassified_Onthovicinus,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day21'}
unclassified_Onthovicinus-Fournierella sp002161595,1,"{'competition', 'co-occurrence'}",{'day21'}
Pseudobutyricicoccus lothianensis-Merdivicinus excrementipullorum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day21'}
unclassified_Lawsonibacter-Egerieicola faecale,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day21'}
Pelethomonas intestinigallinarum-Gemmiger avicola,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day21'}
Acutalibacter sp900755895-Gemmiger avicola,1,"{'competition', 'co-occurrence'}",{'day21'}
Merdivicinus excrementipullorum-Gemmiger avicola,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day21'}
Acutalibacter ornithocaccae-Anaerotruncus colihominis,1,"{'competition', 'co-occurrence'}",{'day21'}
Agathobaculum sp900557315-Roslinia sp019419865,1,"{'competition', 'co-occurrence'}",{'day21'}
Flavonifractor plautii-Roslinia sp019419865,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day21'}
Acutalibacter stercoravium-Roslinia sp019419865,1,"{'competition', 'co-exclusion'}",{'day21'}
Acutalibacter sp900755895-Anaerotignum merdipullorum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day21'}
Caccousia avistercoris-Choladocola sp944381625,1,"{'competition', 'co-occurrence'}",{'day21'}
Gemmiger avicola-Choladocola sp944381625,1,"{'competition', 'co-occurrence'}",{'day21'}
Choladocola avistercoris-Merdisoma faecalis,1,"{'competition', 'co-exclusion'}",{'day21'}
Caccovicinus sp017889125-L-Asparagine,1,{'co-occurrence'},{'TG5'}
Lachnoclostridium_A stercoripullorum-Total_removed_abd,1,{'co-occurrence'},{'TG5'}
Agathobaculum stercoravium-Total_removed_abd,1,{'co-exclusion'},{'TG5'}
Eisenbergiella intestinigallinarum-Copromonas faecavium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG5'}
Anaerotignum merdipullorum-Merdisoma faecalis,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG5'}
Scatavimonas merdipullorum-Eisenbergiella intestinigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG5'}
Acutalibacter ornithocaccae-Eisenbergiella merdigallinarum,1,"{'competition', 'co-occurrence'}",{'TG5'}
Ruthenibacterium lactatiformans-Eisenbergiella merdigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG5'}
Tyzzerella sp944383305-Eisenbergiella merdigallinarum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG5'}
Scatavimonas merdipullorum-Eisenbergiella sp904392525,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG5'}
unclassified_Lawsonibacter-Mediterraneibacter excrementipullorum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG5'}
Ornithomonoglobus merdipullorum-Enterocloster excrementipullorum,1,"{'competition', 'co-occurrence'}",{'TG5'}
Klebsiella pneumoniae-Clostridium_Q saccharolyticum_A,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG5'}
Negativibacillus faecipullorum-Clostridium_Q saccharolyticum_A,1,"{'competition', 'co-occurrence'}",{'TG5'}
Gallacutalibacter pullicola-Lachnoclostridium_A stercoripullorum,1,"{'competition', 'co-occurrence'}",{'TG5'}
Lawsonibacter sp900545895-Lachnoclostridium_A stercorigallinarum,1,"{'competition', 'co-occurrence'}",{'TG5'}
Dysosmobacter pullicola-Copromonas faecavium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG5'}
Ornithomonoglobus merdipullorum-Enterocloster excrementigallinarum,1,"{'competition', 'co-occurrence'}",{'TG5'}
Negativibacillus faecipullorum-Streptococcus alactolyticus,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG5'}
Scatavimonas merdipullorum-Mediterraneibacter sp944381495,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG5'}
Agathobaculum intestinigallinarum-Anaerobutyricum stercoris,1,"{'competition', 'co-exclusion'}",{'TG5'}
Caccovicinus merdipullorum-Anaerobutyricum stercoris,1,"{'competition', 'co-occurrence'}",{'TG5'}
UBA1417 sp900552925-Borkfalkia excrementigallinarum,1,"{'competition', 'co-occurrence'}",{'TG5'}
unclassified_Blautia-Borkfalkia excrementigallinarum,1,"{'competition', 'co-occurrence'}",{'TG5'}
Klebsiella pneumoniae-Scatosoma sp900555925,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG5'}
Fimenecus stercoravium-Scatosoma sp900555925,1,"{'competition', 'co-occurrence'}",{'TG5'}
Eisenbergiella merdigallinarum-Gallimonas merdigallinarum,1,"{'competition', 'co-occurrence'}",{'TG5'}
Faecivivens stercoravium-Pullichristensenella excrementipullorum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG5'}
Acutalibacter sp900755895-Harrysmithimonas galli,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG5'}
Merdivicinus intestinigallinarum-Thomasclavelia ramosa,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG5'}
Fimenecus stercoravium-Massilimicrobiota merdigallinarum,1,"{'competition', 'co-occurrence'}",{'TG5'}
Mediterraneibacter sp944381495-Massilimicrobiota merdigallinarum,1,"{'competition', 'co-occurrence'}",{'TG5'}
Anaeromassilibacillus stercoravium-Eisenbergiella intestinigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day21'}
Coprocola pullicola-Eisenbergiella intestinigallinarum,1,"{'competition', 'co-exclusion'}",{'day21'}
Ornithomonoglobus merdipullorum-Eisenbergiella merdigallinarum,1,"{'competition', 'co-occurrence'}",{'day21'}
Intestinimonas timonensis-Lactobacillus johnsonii,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day21'}
Egerieicola faecale-Coproplasma stercorigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day21'}
Merdivicinus excrementipullorum-Spyradocola merdavium,1,"{'competition', 'co-occurrence'}",{'day21'}
Enterocloster sp944384065-Spyradocola merdavium,1,"{'competition', 'co-occurrence'}",{'day21'}
Coproplasma stercorigallinarum-Spyradocola merdavium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day21'}
Lawsonibacter asaccharolyticus-Romboutsia sp904418825,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day21'}
Coprocola pullicola-Romboutsia sp904418825,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day21'}
Agathobaculum stercoravium-Harrysmithimonas galli,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day21'}
Gemmiger stercoravium-Massilimicrobiota merdigallinarum,1,"{'competition', 'co-occurrence'}",{'day21'}
Mediterraneibacter faecigallinarum-Massilimicrobiota merdigallinarum,1,"{'competition', 'co-occurrence'}",{'day21'}
Mediterraneibacter norwichensis-Massilimicrobiota merdigallinarum,1,"{'competition', 'co-occurrence'}",{'day21'}
Mediterraneibacter sp019418195-Clostridium_AQ innocuum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day21'}
Borkfalkia sp017886545-Merdibacter merdigallinarum,1,"{'competition', 'co-occurrence'}",{'day21'}
Intestinimonas pullistercoris-Lactobacillus crispatus,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day21'}
Choladocola avistercoris-Lactobacillus johnsonii,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day21'}
Lawsonibacter sp019424865-Scatosoma sp904419075,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day21'}
Anaerostipes butyraticus-Lactobacillus gallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day21'}
Egerieicola faecale-Total_removed_abd,1,{'co-exclusion'},{'day21'}
Coproplasma stercorigallinarum-treatment_TG2,1,{'co-occurrence'},{'day21'}
Pullilachnospira stercoravium-treatment_TG3,1,{'co-occurrence'},{'day21'}
Lachnoclostridium_B sp002160985-treatment_TG4,1,{'co-occurrence'},{'day21'}
Ruthenibacterium lactatiformans-treatment_TG5,1,{'co-occurrence'},{'day21'}
Anaerobutyricum stercoris-L-Proline,1,{'co-occurrence'},{'day21'}
Onthovicinus excrementipullorum-L-Valine,1,{'co-occurrence'},{'day21'}
Merdisoma sp002160825-L-Valine,1,{'co-occurrence'},{'day21'}
L-Valine-L-Threonine,1,{'co-occurrence'},{'day21'}
Acutalibacter sp900755895-Niacinamide,1,{'co-occurrence'},{'day21'}
Mediterraneibacter sp019418195-Nicotinic acid,1,{'co-occurrence'},{'day21'}
Mediterraneibacter vanvlietii-Nicotinic acid,1,{'co-occurrence'},{'day21'}
Faeciplasma gallinarum-Coproplasma stercorigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day21'}
Gemmiger avicola-Borkfalkia sp944342025,1,"{'competition', 'co-occurrence'}",{'day21'}
Negativibacillus faecipullorum-Mediterraneibacter merdigallinarum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day21'}
UBA4716 sp905215805-An181 sp002160325,1,"{'competition', 'co-occurrence'}",{'day21'}
Fournierella sp002161595-unclassified_Mediterraneibacter,1,"{'competition', 'co-occurrence'}",{'day21'}
Flavonifractor plautii-Mediterraneibacter faecavium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day21'}
Gallacutalibacter pullicola-Eisenbergiella sp904392525,1,"{'competition', 'co-occurrence'}",{'day21'}
Flavonifractor avistercoris-unclassified_Blautia,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day21'}
Anaeromassilibacillus stercoravium-Lachnoclostridium_B sp002160985,1,"{'competition', 'co-exclusion'}",{'day21'}
Gemmiger stercoravium-Merdisoma sp002160825,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day21'}
Eisenbergiella sp904392525-Mediterraneibacter faecigallinarum,1,"{'competition', 'co-occurrence'}",{'day21'}
Caccousia avistercoris-Enterocloster sp944384065,1,"{'competition', 'co-occurrence'}",{'day21'}
unclassified_Mediterraneibacter-Enterocloster excrementipullorum,1,"{'competition', 'co-exclusion'}",{'day21'}
Mediterraneibacter excrementipullorum-Enterocloster excrementipullorum,1,"{'competition', 'co-exclusion'}",{'day21'}
Gallacutalibacter pullicola-UMGS1370 sp904395885,1,"{'competition', 'co-occurrence'}",{'day21'}
Mediterraneibacter sp900761655-UMGS1370 sp904395885,1,"{'competition', 'co-occurrence'}",{'day21'}
Onthovicinus excrementipullorum-Clostridium_Q saccharolyticum_A,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day21'}
Mediterraneibacter intestinavium-An181 sp002160325,1,"{'competition', 'co-occurrence'}",{'day21'}
Acutalibacter sp900755895-Borkfalkia sp944342025,1,"{'competition', 'co-occurrence'}",{'day21'}
Acutalibacter sp900755895-Lachnoclostridium_A stercorigallinarum,1,"{'competition', 'co-exclusion'}",{'day21'}
Lawsonibacter sp900545895-Copromonas faecavium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day21'}
Gemmiger stercoravium-Mediterraneibacter norwichensis,1,"{'competition', 'co-occurrence'}",{'day21'}
Flavonifractor avistercoris-Enterocloster excrementigallinarum,1,"{'competition', 'co-exclusion'}",{'day21'}
Mediterraneibacter faecipullorum-Merdimonas faecis,1,"{'competition', 'co-occurrence'}",{'day21'}
unclassified_Choladocola-Pullilachnospira stercoravium,1,"{'competition', 'co-exclusion'}",{'day21'}
unclassified_Acutalibacteraceae-Mediterraneibacter vanvlietii,1,"{'competition', 'co-occurrence'}",{'day21'}
Lawsonibacter asaccharolyticus-Hungatella_B pullicola,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day21'}
Flavonifractor avicola-Anaerobutyricum stercoris,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day21'}
Blautia ornithocaccae-Anaerobutyricum stercoris,1,"{'competition', 'co-occurrence'}",{'day21'}
Dysosmobacter avistercoris-Anaerostipes butyraticus,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day21'}
Pseudobutyricicoccus lothianensis-Heteroclostridium caecigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day21'}
unclassified_Acutalibacteraceae-Borkfalkia excrementigallinarum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day21'}
Heritagella sp905215105-Pantothenic acid,1,{'co-occurrence'},{'TG4'}
Flavonifractor avistercoris-L-Threonine,1,{'co-exclusion'},{'TG2'}
Flavonifractor avistercoris-L-Asparagine,1,{'co-exclusion'},{'TG4'}
Eisenbergiella sp904392525-Thomasclavelia spiroformis,1,"{'competition', 'co-occurrence'}",{'overall'}
Agathobaculum sp900557315-Lachnoclostridium_A stercorigallinarum,1,"{'competition', 'co-exclusion'}",{'overall'}
Lawsonibacter sp019424865-Lachnoclostridium_A stercorigallinarum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'overall'}
Mediterraneibacter merdigallinarum-Copromonas faecavium,1,"{'competition', 'co-exclusion'}",{'overall'}
Sellimonas intestinalis-Copromonas faecavium,1,"{'competition', 'co-exclusion'}",{'overall'}
Evtepia gabavorous-Mediterraneibacter norwichensis,1,"{'competition', 'co-occurrence'}",{'overall'}
Onthovicinus excrementipullorum-Mediterraneibacter norwichensis,1,"{'competition', 'co-occurrence'}",{'overall'}
Lachnoclostridium_B sp002160985-Mediterraneibacter norwichensis,1,"{'competition', 'co-occurrence'}",{'overall'}
Proteus mirabilis-Enterocloster excrementigallinarum,1,{'co-occurrence'},{'overall'}
unclassified_Acutalibacteraceae-Merdimonas faecis,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Roslinia sp019419865-Merdimonas faecis,1,"{'competition', 'co-occurrence'}",{'overall'}
Lawsonibacter pullicola-Pullilachnospira stercoravium,1,"{'competition', 'co-exclusion'}",{'overall'}
Coprocola pullicola-Hungatella_B pullicola,1,"{'competition', 'co-occurrence'}",{'overall'}
Choladocola avistercoris-Anaerobutyricum stercoris,1,"{'competition', 'co-occurrence'}",{'overall'}
Pullilachnospira stercoravium-Borkfalkia sp904373255,1,"{'competition', 'co-occurrence'}",{'overall'}
Lachnoclostridium_B sp002160985-Borkfalkia sp017886545,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
unclassified_Intestinimonas-Gallimonas merdigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Dysosmobacter faecalis-Gallimonas merdigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Lawsonibacter sp019424865-Coproplasma stercorigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Blautia_A intestinavium-Coproplasma stercorigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Anaerobutyricum stercoris-Coproplasma stercorigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Pelethomonas intestinigallinarum-Romboutsia sp904418825,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Lawsonibacter asaccharolyticus-Harrysmithimonas galli,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Dysosmobacter pullicola-Harrysmithimonas galli,1,"{'competition', 'co-exclusion'}",{'overall'}
Dysosmobacter pullicola-Thomasclavelia ramosa,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Acutalibacter ornithocaccae-Thomasclavelia ramosa,1,"{'competition', 'co-exclusion'}",{'overall'}
Anaerotruncus colihominis-Thomasclavelia ramosa,1,"{'competition', 'co-occurrence'}",{'overall'}
unclassified_Intestinimonas-Massilimicrobiota merdigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Eisenbergiella merdigallinarum-Massilimicrobiota merdigallinarum,1,"{'competition', 'co-occurrence'}",{'overall'}
Lachnoclostridium_B sp002160985-Massilimicrobiota merdigallinarum,1,"{'competition', 'co-occurrence'}",{'overall'}
Proteus mirabilis-Lachnoclostridium_A stercorigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Pseudobutyricicoccus lothianensis-Sellimonas intestinalis,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Negativibacillus faecipullorum-An181 sp002160325,1,{'co-exclusion'},{'overall'}
Mediterraneibacter intestinavium-unclassified_Blautia,1,"{'competition', 'co-occurrence'}",{'overall'}
Lawsonibacter sp019424865-Blautia_A intestinavium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Coprocola pullicola-Blautia_A intestinavium,1,"{'competition', 'co-occurrence'}",{'overall'}
Lawsonibacter pullicola-Eisenbergiella intestinigallinarum,1,"{'competition', 'co-occurrence'}",{'overall'}
Pelethomonas intestinigallinarum-Eisenbergiella intestinigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Choladocola avistercoris-Eisenbergiella merdigallinarum,1,"{'competition', 'co-occurrence'}",{'overall'}
Acutalibacter ornithocaccae-Mediterraneibacter merdigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Faecousia gallistercoris-Mediterraneibacter intestinavium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Merdisoma faecalis-Mediterraneibacter intestinavium,1,"{'competition', 'co-occurrence'}",{'overall'}
Mediterraneibacter intestinavium-Mediterraneibacter faecavium,1,"{'competition', 'co-occurrence'}",{'overall'}
Onthovicinus excrementipullorum-Mediterraneibacter sp019418195,1,"{'competition', 'co-occurrence'}",{'overall'}
Pelethomonas intestinigallinarum-Eisenbergiella sp904392525,1,"{'competition', 'co-exclusion', 'cooperation'}",{'overall'}
Anaerotignum merdipullorum-Eisenbergiella sp904392525,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Mediterraneibacter merdigallinarum-Eisenbergiella sp904392525,1,"{'competition', 'co-occurrence'}",{'overall'}
unclassified_Acutalibacteraceae-Mediterraneibacter excrementipullorum,1,"{'competition', 'co-exclusion'}",{'overall'}
Agathobaculum stercoravium-An181 sp002160325,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Flavonifractor avistercoris-Lachnoclostridium_B sp002160985,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Anaeromassilibacillus stercoravium-Mediterraneibacter faecigallinarum,1,"{'competition', 'co-exclusion'}",{'overall'}
Proteus mirabilis-Blautia ornithocaccae,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Lachnoclostridium_B sp002160985-Blautia ornithocaccae,1,"{'competition', 'co-exclusion'}",{'overall'}
Agathobaculum intestinigallinarum-Enterocloster excrementipullorum,1,"{'competition', 'co-exclusion'}",{'overall'}
Agathobaculum stercoravium-Caccovicinus merdipullorum,1,"{'competition', 'co-occurrence'}",{'overall'}
Pseudobutyricicoccus lothianensis-Caccovicinus merdipullorum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'overall'}
Lawsonibacter pullicola-Caccovicinus merdipullorum,1,"{'competition', 'co-exclusion'}",{'overall'}
Anaeromassilibacillus stercoravium-Caccovicinus merdipullorum,1,"{'competition', 'co-occurrence'}",{'overall'}
Proteus mirabilis-UMGS1370 sp904395885,1,"{'competition', 'co-exclusion', 'cooperation'}",{'overall'}
Intestinimonas timonensis-UMGS1370 sp904395885,1,"{'competition', 'co-exclusion'}",{'overall'}
Pseudobutyricicoccus lothianensis-Mediterraneibacter faecipullorum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Merdivicinus intestinigallinarum-Clostridium_Q saccharolyticum_A,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Merdisoma faecalis-Thomasclavelia spiroformis,1,"{'competition', 'co-exclusion'}",{'overall'}
Caccovicinus merdipullorum-Thomasclavelia spiroformis,1,"{'competition', 'co-exclusion'}",{'overall'}
Lachnoclostridium_B sp002160985-Total_removed_abd,1,{'co-exclusion'},{'TG4'}
Borkfalkia excrementigallinarum-Clostridium_AQ innocuum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Copromonas faecavium-treatment_TG5,1,{'co-occurrence'},{'overall'}
Anaerobutyricum stercoris-treatment_TG5,1,{'co-occurrence'},{'overall'}
Escherichia coli-day,1,{'co-exclusion'},{'overall'}
Pelethomonas intestinigallinarum-day,1,{'co-occurrence'},{'overall'}
Dysosmobacter faecalis-day,1,{'co-occurrence'},{'overall'}
Acutalibacter sp900755895-day,1,{'co-occurrence'},{'overall'}
Blautia ornithocaccae-day,1,{'co-exclusion'},{'overall'}
Scatosoma sp900555925-day,1,{'co-occurrence'},{'overall'}
Lachnoclostridium_B sp002160985-L-Asparagine,1,{'co-occurrence'},{'overall'}
L-Asparagine-L-Glutamic acid,1,{'co-occurrence'},{'overall'}
